_id,name,property_type,room_type,minimum_nights,bedrooms,number_of_reviews,price,host_id,host_name,country,longitude,latitude,availability_365
10082307,Double Room en-suite (307),Apartment,Private room,1,1.0,0,361.00,51289938,Ken,Hong Kong,114.17158,22.30469,365
10082422,Nice room in Barcelona Center,Apartment,Private room,1,1.0,0,50.00,30393403,Anna,Spain,2.16942,41.40082,0
10083468,Be Happy in Porto,Loft,Entire home/apt,2,1.0,178,30.00,27518920,Fábio,Portugal,-8.61123,41.15225,335
10084023,City center private room with bed,Guesthouse,Private room,1,1.0,81,181.00,51744313,Yi,Hong Kong,114.1669,22.3314,220
10091713,Surry Hills Studio - Your Perfect Base in Sydney,Apartment,Entire home/apt,10,0.0,64,181.00,13764143,Ben,Australia,151.21554,-33.88029,0
10092679,Cozy house at Beyoğlu,Apartment,Private room,2,1.0,27,58.00,21331922,Ali,Turkey,28.95825,41.03777,37
10096773,Easy 1 Bedroom in Chelsea,Apartment,Entire home/apt,2,1.0,1,145.00,34607505,Scott,United States,-74.00074,40.74577,0
10108388,Sydney Hyde Park City Apartment (checkin from 6am),Apartment,Entire home/apt,2,1.0,109,185.00,16187044,Desireé,Australia,151.21346,-33.87603,265
10109896,THE Place to See Sydney's FIREWORKS,House,Entire home/apt,2,1.0,0,250.00,6517277,Kristin,Australia,151.17956,-33.86296,0
10112159,Downtown Oporto Inn (room cleaning),Hostel,Private room,1,1.0,0,40.00,2649859,Elisabete,Portugal,-8.60867,41.1543,359
10115921,GOLF ROYAL RESİDENCE TAXİM(1+1):3,Serviced apartment,Entire home/apt,1,2.0,3,838.00,51471538,Ahmet,Turkey,28.98713,41.04841,365
10116256,GOLF ROYAL RESIDENCE SUİTES(2+1)-2,Serviced apartment,Entire home/apt,1,2.0,0,997.00,51471538,Ahmet,Turkey,28.98818,41.04772,365
10116578,Apartamento zona sul do RJ,Apartment,Entire home/apt,1,3.0,0,933.00,51915770,Luiz Rodrigo,Brazil,-43.1825954762751,-22.930541460367934,365
10117617,A Casa Alegre é um apartamento T1.,Apartment,Entire home/apt,7,1.0,12,40.00,51920973,Manuela,Portugal,-8.75383,41.3596,46
10120414,The LES Apartment,Apartment,Entire home/apt,3,1.0,0,150.00,33231070,Mert,United States,-73.98944,40.72063,0
10133350,2 bedroom Upper east side,Apartment,Entire home/apt,2,2.0,9,275.00,52004369,Chelsea,United States,-73.95854,40.7664,0
10133554,Double and triple rooms Blue mosque,Bed and breakfast,Private room,1,1.0,29,121.00,52004703,Mehmet Emin,Turkey,28.98009,41.0062,365
10138784,Room Close to LGA and 35 mins to Times Square,Apartment,Private room,2,1.0,123,46.00,52031360,Cheer,United States,-73.88025,40.74953,365
10140368,A bedroom far away from home,Apartment,Private room,1,1.0,239,45.00,1017772,Lane,United States,-73.82257,40.71485,34
10141950,"Big, Bright & Convenient Sheung Wan",Apartment,Entire home/apt,2,0.0,1,966.00,11435086,Regg,Hong Kong,114.15007,22.28422,0
10166883,Large railroad style 3 bedroom apt in Manhattan!,Apartment,Entire home/apt,3,3.0,22,180.00,35215309,Vick,United States,-73.93943,40.79805,0
10166986,Resort-like living in Williamsburg,Apartment,Entire home/apt,5,2.0,1,220.00,14461742,Mohammed,United States,-73.93869,40.71552,0
1016739,Private Room (2)  in Guest House at Coogee Beach,House,Private room,3,1.0,8,64.00,5595776,David,Australia,151.25541,-33.92398,20
10184012,Apto semi mobiliado,Apartment,Entire home/apt,1,2.0,0,380.00,52299431,Ricardo,Brazil,-43.24277868091869,-22.915009354482486,365
10186755,Roof double bed private room,Loft,Private room,1,1.0,0,185.00,52316085,Mustafa,Turkey,29.03693,41.12452,365
1019168,"Cozy Nest, heart of the Plateau",Apartment,Private room,2,1.0,62,34.00,39300,Lilou,Canada,-73.58774,45.52028,0
10199760,Uygun nezih daire,Apartment,Entire home/apt,1,1.0,0,264.00,37417314,Yaşar,Turkey,28.89964,40.99667,365
10201975,Ipanema: moderno apê 2BR + garagem,Apartment,Entire home/apt,4,2.0,24,298.00,2537111,Barbara,Brazil,-43.1998455458952,-22.980051683700506,174
10209136,"Friendly Apartment, 10m from Manly",Apartment,Private room,1,1.0,4,36.00,52453573,Isaac,Australia,151.26969,-33.79629,0
10213499,Great studio opp. Narrabeen Lake,Apartment,Entire home/apt,1,0.0,61,117.00,634664,Tracy,Australia,151.29792,-33.71472,26
10215858,Cozy Queen Guest Room&My,Apartment,Private room,1,1.0,9,330.00,52473150,Danny,Hong Kong,114.17034,22.31655,135
10220130,Cozy aptartment in Recreio (near Olympic Venues),Apartment,Entire home/apt,2,3.0,0,746.00,31553171,José Augusto,Brazil,-43.45296045334386,-23.008710784460312,0
1022200,"Kailua-Kona, Kona Coast II 2b condo",Apartment,Entire home/apt,7,2.0,1,135.00,3393610,Daniel,United States,-155.96445,19.5702,196
10227000,"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",Condominium,Entire home/apt,1,1.0,1,499.00,12057949,Holly,United States,-156.68012,20.96996,365
10228731,Quarto inteiro na Tijuca,Apartment,Private room,1,1.0,1,149.00,12673423,Gilberto,Brazil,-43.247421907135774,-22.936203246553816,178
10233856,Twin Bed room+MTR Mongkok shopping&My,Apartment,Private room,1,1.0,22,400.00,52473150,Danny,Hong Kong,114.17073,22.31723,145
10240767,Cozy double bed room 東涌鄉村雅緻雙人房,Guesthouse,Private room,1,1.0,162,487.00,52491634,Ricky,Hong Kong,113.92823,22.27671,339
10264100,Your spot in Copacabana,Apartment,Entire home/apt,2,2.0,8,798.00,52772199,Ana Lúcia,Brazil,-43.17714541632985,-22.96270793328072,247
10266175,Makaha Valley Paradise with OceanView,Condominium,Entire home/apt,3,1.0,32,95.00,42868615,Ray And Lise,United States,-158.20291,21.4818,246
10267144,IPANEMA LUXURY PENTHOUSE with MAID,Apartment,Entire home/apt,1,1.0,29,858.00,4428126,Cesar,Brazil,-43.20056249420509,-22.98034625363379,345
10269320,FloresRooms 3T,Apartment,Entire home/apt,2,0.0,225,31.00,51724179,Andreia,Portugal,-8.61205,41.14404,278
10280433,~Ao Lele~ Flying Cloud,Treehouse,Entire home/apt,2,1.0,103,185.00,52785887,Mike,United States,-155.21763,19.42151,165
10295352,"Amazing and Big Apt, Ipanema Beach.",Apartment,Entire home/apt,1,3.0,0,1999.00,52966539,Pedro,Brazil,-43.20465630892734,-22.983108745795256,0
10299095,Small Room w Bathroom Flamengo Rio de Janeiro,Apartment,Private room,4,1.0,1,71.00,52988408,Fernanda,Brazil,-43.17645081249057,-22.93848268819496,0
102995,UWS Brownstone Near Central Park,Apartment,Entire home/apt,21,1.0,45,212.00,178043,Chas,United States,-73.9696,40.78558,5
10306879,Alugo Apart frente mar Barra Tijuca,Apartment,Entire home/apt,10,1.0,0,933.00,53027036,Paulo Cesar,Brazil,-43.36831676949888,-23.011117008024065,363
103161,Cozy Art Top Floor Apt in PRIME Williamsburg!,Apartment,Entire home/apt,2,1.0,117,175.00,465278,Ade,United States,-73.96053,40.71577,363
10317142,Private OceanFront - Bathtub Beach. Spacious House,House,Entire home/apt,3,4.0,32,795.00,53086419,Noah,United States,-157.91952,21.63549,229
10324377,Suíte em local tranquilo e seguro,House,Private room,1,1.0,0,101.00,53127432,Renato,Brazil,-43.33496705036137,-22.948365490450556,357
10332161,A large sunny bedroom,Apartment,Private room,3,1.0,2,35.00,53169195,Ehssan,United States,-73.90052,40.85598,0
10343118,Best location 1BR Apt in HK - Shops & Sights,Apartment,Entire home/apt,1,1.0,145,997.00,2657469,Simon,Hong Kong,114.17088,22.29663,170
10354347,Room For Erasmus,Apartment,Private room,1,2.0,1,37.00,53288729,Kemal,Turkey,29.06064,40.98837,365
10359729,,Apartment,Private room,1,1.0,0,105.00,53319251,Seda,Turkey,29.05108,41.08835,0
1036027,BBC OPORTO 4X2,Apartment,Entire home/apt,3,4.0,71,100.00,3104922,Cristina,Portugal,-8.60069,41.16246,264
10373872,Apartamento Mobiliado - Lgo do Machado,Apartment,Entire home/apt,30,1.0,0,149.00,15152328,Marcelo,Brazil,-43.178886292069244,-22.931715899178695,316
1038163,luxury apartment in istanbul taxsim,Apartment,Entire home/apt,2,1.0,135,269.00,5386341,Osman,Turkey,28.98538,41.03326,317
10381879,Pousada das Colonias,Bed and breakfast,Private room,1,1.0,9,138.00,48463017,Lidia Maria,Brazil,-43.3089745798612,-23.004633399469007,347
10383490,Quarto Taquara - Jacarepaguá,Apartment,Private room,2,1.0,1,101.00,3026612,Luana,Brazil,-43.37035220190699,-22.91636184358952,365
10392282,Banyan Bungalow,Bungalow,Entire home/apt,2,0.0,99,100.00,53507053,Bobby,United States,-158.1602,21.57561,321
10411341,Beautiful flat with services,Apartment,Entire home/apt,3,2.0,32,351.00,36696735,Liliane,Brazil,-43.20577175003696,-22.982557305257775,316
10415637,(1) Beach Guest House - Go Make A Trip,Bed and breakfast,Private room,1,1.0,11,112.00,4765935,Rafael,Brazil,-43.353970672578306,-23.008991691724663,309
10416859,"Studio convenient to CBD, beaches, street parking.",Guest suite,Entire home/apt,2,1.0,104,45.00,4548918,Leslie,Australia,151.26108,-33.7975,0
10423504,Bondi Beach Dreaming 3-Bed House,House,Entire home/apt,2,3.0,139,399.00,2509326,Cat,Australia,151.27448,-33.8872,0
1042446,March 2019 availability! Oceanview on Sugar Beach!,Condominium,Entire home/apt,4,1.0,19,229.00,5738969,Gage,United States,-156.46881,20.78621,228
10431455,Sala e quarto em copacabana com cozinha americana,Apartment,Entire home/apt,4,1.0,0,298.00,53729453,Tamara,Brazil,-43.177948896979196,-22.963149303022142,0
10448594,Where Castles and Art meet the Sea,Apartment,Entire home/apt,5,1.0,13,80.00,53059934,Jose,Portugal,-8.68887,41.17544,27
10449328,Aluguel Temporada Casa São Conrado,House,Entire home/apt,5,4.0,0,2499.00,33687645,Maria Pia,Brazil,-43.27502007153333,-22.99391888061395,365
10458796,Homely Room in 5-Star New Condo@MTR,Condominium,Private room,28,1.0,179,479.00,53247930,Crystal,Hong Kong,114.17094,22.32074,3
10459480,Greenwich Fun and Luxury,House,Entire home/apt,5,4.0,0,999.00,45186586,Craig,Australia,151.18563,-33.8289,365
1047087,The Garden Studio,Guesthouse,Entire home/apt,2,1.0,146,129.00,3251237,Cath,Australia,151.15036,-33.90318,365
10471178,Rented Room,Apartment,Private room,1,1.0,0,112.00,53957975,Jercilene,Brazil,-43.17933175178738,-22.941321220162784,365
10486984,Cheerful new renovated central apt,Apartment,Entire home/apt,3,3.0,77,264.00,22766460,Aybike,Turkey,28.97477,41.03735,326
10487917,Heroísmo IV,Apartment,Entire home/apt,1,0.0,31,29.00,9320470,Apartments2Enjoy,Portugal,-8.59275,41.1462,309
10488837,Cozy House in Ortaköy,Apartment,Private room,1,1.0,0,100.00,53849209,Orcun,Turkey,29.02519,41.05197,365
10519173,Condomínio Praia Barra da Tijuca,Condominium,Entire home/apt,2,2.0,18,351.00,54221119,Paula,Brazil,-43.32231287289854,-23.009702689174244,172
10527212,位於深水埗地鐵站的溫馨公寓,Apartment,Private room,1,1.0,18,353.00,16313394,Aaron,Hong Kong,114.16262,22.32733,365
10527243,Tropical Jungle Oasis,Condominium,Entire home/apt,2,2.0,65,125.00,54294012,Douglas,United States,-155.09259,19.73108,65
10542174,Luxury 1-Bdrm in Downtown Brooklyn,Apartment,Entire home/apt,3,1.0,1,144.00,10099253,Ashley,United States,-73.98102,40.69406,0
10545725,Cozy bedroom Sagrada Familia,Apartment,Private room,2,1.0,1,20.00,1929411,Rapha,Spain,2.17963,41.40087,0
10545815,Whole Apt. in East Williamsburg,Apartment,Entire home/apt,4,1.0,126,125.00,4148248,Guillermo,United States,-73.93981,40.70687,168
10548991,Jubilee By The Sea (Ocean Views),House,Entire home/apt,2,4.0,45,325.00,54391530,Nate,United States,-155.97349,19.61318,267
10552362,Sun filled comfortable apartment,Apartment,Entire home/apt,1,1.0,2,85.00,23405752,Harry,Australia,151.22559,-33.87604,0
10558807,Park Guell apartment with terrace,Apartment,Entire home/apt,2,2.0,51,85.00,54320669,Alexandra Y Juan,Spain,2.15836,41.41582,174
10560325,Spacious and well located apartment,Apartment,Entire home/apt,3,2.0,20,60.00,12870591,Andre,Portugal,-8.6114,41.16093,314
10570041,Jardim Botânico Gourmet 2 bdroom,Apartment,Entire home/apt,2,2.0,9,395.00,3665789,Roberta (Beta) Gatti,Brazil,-43.22076222600562,-22.96448811710617,342
10573225,Charming Spacious Park Slope Studio,Guest suite,Entire home/apt,3,0.0,115,135.00,54539364,Ildiko,United States,-73.98307,40.6651,204
10578580,Panoramic Ocean View Studio in  Quiet Setting,Guesthouse,Entire home/apt,2,1.0,114,120.00,308899,Andrei,United States,-157.78578,21.29561,323
10581101,Grand apartment Sagrada Familia,Apartment,Entire home/apt,2,4.0,77,169.00,54320669,Alexandra Y Juan,Spain,2.18146,41.39716,211
1058555,Nice Cosy Room In Taksim,Apartment,Private room,3,1.0,31,105.00,5823933,Nihat,Turkey,28.98648,41.03376,336
10596036,Apt Quarto e Sala amplo Laranjeiras,Apartment,Entire home/apt,5,1.0,0,701.00,47039858,Marianna,Brazil,-43.17974071338275,-22.9313871086666,0
10612199,Serene luxury in Harlem,Apartment,Private room,3,1.0,10,80.00,54761069,Erika,United States,-73.95211,40.80708,339
10624493,Cozy apartment 3 mins TAIWAI Subway,Apartment,Entire home/apt,7,2.0,0,801.00,19543283,Naomi,Hong Kong,114.12074,22.40547,0
10628126,Ribeira Smart Flat,Apartment,Entire home/apt,2,3.0,132,80.00,54662715,Mathieu,Portugal,-8.61602,41.14295,214
1063491,"Charming Apartment,perfect Location",Apartment,Entire home/apt,2,1.0,110,351.00,1381764,Fabio,Brazil,-43.175966118975914,-22.964922391816017,317
10635276,GREAT Apartment at Barra da Tijuca,Apartment,Entire home/apt,4,3.0,13,933.00,54904357,Luiz Henrique,Brazil,-43.32984175609327,-23.011124595436097,0
10639317,"Kadiköy, Moda, close to transports",Apartment,Private room,1,1.0,0,137.00,25679882,Bertille,Turkey,29.02588,40.98825,0
10648267,Lovely ap at Leblon beach,Apartment,Entire home/apt,3,3.0,1,298.00,54984412,Sonia,Brazil,-43.22120070184858,-22.984162872106157,0
10659534,Beautiful 1 Bedroom Apartment,Apartment,Entire home/apt,2,1.0,10,997.00,36481278,Mai-Britt,Hong Kong,114.15241,22.28351,0
10664888,PORTO DOWNTOWN FLATS-RIBEIRA STUDIO,Apartment,Entire home/apt,2,0.0,62,55.00,35484736,Tim,Portugal,-8.61279,41.14106,243
1066648,Colonial Mansion in Santa Teresa,House,Entire home/apt,1,6.0,0,1999.00,4532951,John,Brazil,-43.178234025801544,-22.917475613135107,358
1067052,Nani La 'Ao (A Beautiful Day) Upstairs Suite,House,Entire home/apt,3,1.0,18,72.00,1121661,Sherri,United States,-155.02503,19.56081,352
10671783,CASA PARA AS OLIMPIADAS 2016,House,Entire home/apt,1,4.0,0,3726.00,55124555,Priscila,Brazil,-43.43656065280531,-23.01216083013239,0
10675315,"Cozy, dreamy Mile End apartment",Apartment,Private room,2,1.0,0,30.00,5173928,Uma,Canada,-73.60137,45.52517,0
10677883,Great location in Barcelona,Apartment,Entire home/apt,200,4.0,2,31.00,6151720,Marina E Mickael,Spain,2.19057,41.41254,358
1068505,Relaxing and Roomy in Crown Heights,Apartment,Private room,2,1.0,46,50.00,2128778,Rachael,United States,-73.95667,40.67414,64
1069531,"Asia House, Garden Room, Princevile",Guest suite,Private room,3,1.0,167,139.00,5884464,Coral,United States,-159.48653,22.22739,276
1070322,Triple room Barcelona Guell park,Condominium,Private room,2,1.0,191,40.00,5888954,Núria,Spain,2.15533,41.40686,289
10706900,Apart-hotel w/ Wonderful Ocean View - 2 bedrooms!!,Apartment,Entire home/apt,3,2.0,34,451.00,15560428,Aline,Brazil,-43.343027190397,-23.00878356989572,329
10716793,DOUBLE ROOM for 1 or 2 ppl,Apartment,Private room,1,1.0,0,15.00,6486855,Aleksandra,Spain,2.17519,41.41035,0
1073607,Bright Inner West Terrace Value+,House,Private room,1,1.0,84,65.00,3082095,Natasa,Australia,151.15851,-33.89931,232
1074008,Designer's Historical Apartment,Apartment,Entire home/apt,2,1.0,17,385.00,5908273,Pia,Turkey,28.97994,41.03406,365
10742116,"Nişantaşı, safe, quality area.Very close to metro.",Apartment,Entire home/apt,5,1.0,6,417.00,19354362,Enis,Turkey,28.99363,41.05261,297
10751153,Renovated Classic Design Studio with Sun Room,Apartment,Entire home/apt,3,1.0,32,58.00,11417174,Maribel Monzo,Portugal,-8.60106,41.14684,359
10752737,HUGE Bedroom in Lower East Side,Apartment,Private room,7,1.0,0,90.00,20358661,Ryan,United States,-73.98319,40.71823,0
1077686,BALAT,House,Private room,1,1.0,0,685.00,5929670,Hanife,Turkey,28.94457,41.03301,365
10782351,City View Apartment,Serviced apartment,Entire home/apt,1,1.0,1,211.00,3938375,Orhan,Turkey,28.98789,41.03445,343
1079887,Trendy apartment in BCN centre,Apartment,Entire home/apt,2,2.0,104,89.00,542867,Gabriela & Miguel,Spain,2.14596,41.38475,280
10802909,Room in the very ♥ of BCN - Unbeatable location,Condominium,Private room,2,1.0,122,40.00,55390614,Flo,Spain,2.17778,41.38049,253
10812136,well lit East Williamsburg apt.,Apartment,Private room,1,1.0,0,60.00,4827009,Liat,United States,-73.94384,40.70528,0
10816768,Spacious 2 Bedroom: Soho/Escalator,Apartment,Entire home/apt,2,2.0,86,1703.00,56006867,Tara,Hong Kong,114.15315,22.28028,108
10819035,Comfort Room in Istanbul,Apartment,Private room,1,1.0,0,53.00,4812766,Erhan,Turkey,29.08565,41.01499,365
10828339,Quarto espaçoso e arejado no Rio.,Hostel,Private room,3,1.0,1,187.00,28616106,Mariana,Brazil,-43.189916447135005,-22.976504206582874,180
10839801,Room w private toilet 3 min to MTR!,Condominium,Private room,2,1.0,72,447.00,13416742,Joanna,Hong Kong,114.20854,22.29099,140
10839973,傳統香港房间 - 干净整洁交通便利的二人房间,Apartment,Private room,1,1.0,0,2748.00,43392680,Chuiying,Hong Kong,114.16558,22.308,360
10840938,Spacious 3bdrm. Artsy and Perfect Location!,Apartment,Entire home/apt,2,3.0,125,1146.00,930612,Melanie,Hong Kong,114.15202,22.28582,306
10850008,Big Private BR Steps to Barnard Columbia & Subways,Apartment,Private room,1,1.0,29,128.00,56197328,Paul,United States,-73.9648,40.80732,267
10852990,Apartamento para as olimpíadas,Apartment,Entire home/apt,7,2.0,0,746.00,25469566,Rosane,Brazil,-43.1838890521465,-22.938257466286093,358
10855800,Hospede-se com acesso fácil.,Condominium,Entire home/apt,5,2.0,0,134.00,56230710,Rose,Brazil,-43.24972983198035,-22.862647394041378,0
10857454,Artist Garden Duplex Ft. Greene - 2.5 Bedroom,Apartment,Entire home/apt,2,3.0,89,250.00,36894011,Miriam,United States,-73.97527,40.6884,198
10862541,AP. EM CONDOMINIO FECHADO,Apartment,Entire home/apt,1,2.0,0,172.00,55601443,Adriano,Brazil,-43.21872245840377,-22.89142169593252,0
10887852,Cozy Hell's Kitchen Apt,Apartment,Entire home/apt,1,1.0,60,125.00,39754804,Karen,United States,-73.99482,40.76438,66
10893326,Designer Apartment in Sheung Wan,Apartment,Entire home/apt,1,1.0,18,1484.00,9479239,Maria,Hong Kong,114.14881,22.28354,0
1089542,Private Cozy Bedroom in Brooklyn,Apartment,Private room,2,1.0,241,47.00,663764,Karen,United States,-73.94883,40.6536,100
1090153,Aquilla House - Ocean Views Newport,House,Entire home/apt,7,4.0,3,500.00,5990033,Susannah,Australia,151.31572,-33.65212,363
10908640,Quarto de Casal em Ipanema,Apartment,Private room,2,1.0,2,149.00,29744388,Gabriela,Brazil,-43.19841687233581,-22.98376501071312,0
10911771,causeway bay MTR+Tidy Quad room&YT,Apartment,Private room,1,1.0,15,597.00,52473150,Danny,Hong Kong,114.18651,22.28186,32
1092760,Private Entrance - Backyard Summer Dining - Enjoy,Townhouse,Entire home/apt,7,1.0,184,110.00,5887081,Michelle,United States,-73.95321,40.69034,300
10932304,"Waterfront, Enchanted Lake Home 2/1",House,Entire home/apt,4,2.0,44,189.00,49457265,Tom,United States,-157.74147,21.37812,312
10948197,aOceanside Hawaii Apartment Studio Kitchen Parking,Apartment,Entire home/apt,1,1.0,137,99.00,56775580,Jay,United States,-157.83937,21.2837,88
1095174,Makai Hideaway,House,Entire home/apt,4,4.0,119,169.00,6017048,Cheryl,United States,-155.89926,19.20636,215
10977704,Bright PrivateRm 1 min to JordanMTR,Hostel,Private room,2,1.0,203,447.00,56949831,Sam,Hong Kong,114.17127,22.30549,62
1098211,Super location - Walk to the City!,Apartment,Entire home/apt,3,1.0,9,119.00,4099460,Serena,Australia,151.22133,-33.87521,0
10985735,enjoy nature in Istanbul,House,Entire home/apt,2,2.0,15,359.00,56998832,Sanem,Turkey,29.11608,40.862,0
10990260,The Executive  Posh Room,House,Private room,1,1.0,21,90.00,57023844,Karlene,United States,-73.77835,40.68135,365
10992286,Holoholo Inn: Rain Forest (Priv-2),House,Private room,1,1.0,44,105.00,56866557,Satoshi,United States,-155.2403,19.43344,360
10992671,Brooklyn Artist Loft / Fun Location,Apartment,Private room,30,1.0,13,59.00,21965282,Joseph,United States,-74.02972,40.63199,364
11005300,East Village Sanctuary,Apartment,Entire home/apt,30,1.0,19,200.00,57107571,Molly,United States,-73.98763,40.72808,117
11006512,Alcam Colon 52 Apartment,Apartment,Entire home/apt,32,2.0,0,91.00,396363,Oscar And Diego,Spain,2.17831,41.37724,287
11007058,Alcam Colón 42 Apartment,Apartment,Entire home/apt,32,2.0,1,91.00,396363,Oscar And Diego,Spain,2.17774,41.37783,283
11007542,Spacious room Kadıköy Yeldeğirmeni,Apartment,Private room,7,1.0,1,47.00,22677216,Onur,Turkey,29.03075,40.99459,364
1101035,Sunny 1 or 2 BR apt in Boerum Hill,Apartment,Entire home/apt,4,1.0,215,189.00,6048514,Judy,United States,-73.98517,40.68779,276
11012484,,Apartment,Private room,1,1.0,0,40.00,41813973,Mar,Spain,2.15759,41.40349,0
1104768,2 Bdrm/2 Bath  Family Suite Ocean View,Condominium,Entire home/apt,2,2.0,103,325.00,1671879,Roger,United States,-157.82696,21.27971,295
11055163,Room 1 near Jordan Mtr station 1min,Apartment,Private room,1,1.0,105,400.00,45448833,Tungshing,Hong Kong,114.17237,22.30612,236
11080033,Sunny Bedroom in Downtown Montreal,Apartment,Private room,14,1.0,1,21.00,57521137,Cristina,Canada,-73.58595,45.49039,0
11093339,Newly and comfortable apt,Condominium,Entire home/apt,1,0.0,206,463.00,37031267,Michelle&May,Hong Kong,114.17545,22.29643,272
11095139,Room 3 near Jardan mtr station 1min,Apartment,Private room,1,1.0,139,298.00,45448833,Tungshing,Hong Kong,114.17242,22.30515,173
11097962,"Home, Sweet, Harlem. Welcome!",Apartment,Entire home/apt,1,1.0,199,110.00,24800102,Kevin,United States,-73.93955,40.79733,357
11098708,Convenient & Cozy Private Rm@Jordan,Apartment,Private room,2,1.0,211,424.00,56949831,Sam,Hong Kong,114.17106,22.30692,57
11108923,"Amazing NEW Food Lover Balcony, close to FIRA, MWC",Apartment,Entire home/apt,4,2.0,130,84.00,11170203,Kerrisdale Holdings SLU,Spain,2.16622,41.3719,258
11113983,Nice Decorated Studio in Central,Townhouse,Entire home/apt,1,0.0,0,633.00,17638280,Enes,Turkey,29.00425,41.04095,365
1111410,MONTJUIC FOUNTAINS APARTMENT,Apartment,Entire home/apt,1,4.0,43,85.00,6099660,Barcelona Bedroom,Spain,2.15573,41.37249,194
11115528,DOUBLE ROOM IN THE HEART OF BCN,Apartment,Private room,1,1.0,108,25.00,35858044,Isabel,Spain,2.17561,41.38701,324
1112838,Spacious and quiet duplex apartment in Poble Sec,Apartment,Entire home/apt,3,3.0,129,130.00,6107595,Cristina,Spain,2.15566,41.37479,127
11130156,Double Room,Bed and breakfast,Private room,1,1.0,0,359.00,57838569,Bugra,Turkey,28.977,41.01001,365
11131495,Charming apartment in Santa Teresa,Villa,Entire home/apt,2,3.0,7,209.00,57846393,Branca,Brazil,-43.1899284846398,-22.920478977773982,357
11136898,1 or 2 rooms with private terrace in shared flat,Apartment,Private room,2,2.0,57,65.00,3320587,Capitaine,Spain,2.15395,41.38005,333
11144250,Burgazada da çarşıya yakın daire,Apartment,Entire home/apt,1,2.0,22,348.00,57921954,Eser,Turkey,29.06648,40.87794,336
11145180,Clean room in quiet area,Apartment,Private room,1,1.0,27,188.00,57929069,Tim,Hong Kong,114.25746,22.31752,92
11146498,A cosy room for female student,Apartment,Private room,3,1.0,2,90.00,57620332,Buckun,Turkey,28.98352,41.04902,365
11153910,SPACIOUS RAMBLA CATALUÑA,Apartment,Entire home/apt,32,4.0,1,130.00,23377306,Celia,Spain,2.15255,41.39193,100
11157167,Cozy Chinatown studio apartment,Apartment,Entire home/apt,4,0.0,26,100.00,17259339,Maia,United States,-73.99442,40.7113,0
1117706,"Bright, Bohemian, Spacious Apt in Williamsburg",Condominium,Entire home/apt,2,1.0,16,125.00,2843987,Simona,United States,-73.96216,40.71353,0
11191242,2 Bedroom in The East Village!,Apartment,Entire home/apt,1,2.0,19,125.00,35320932,Samantha,United States,-73.98161,40.73598,0
11193311,habitación doble tranquila con luz,Apartment,Private room,1,1.0,23,31.00,28376927,Vanessa,Spain,2.20085,41.42112,358
11194486,Lovely room in Caueway Bay!,Apartment,Private room,1,1.0,0,353.00,58284747,Julia,Hong Kong,114.18233,22.27681,0
11194788,,Apartment,Private room,1,1.0,0,506.00,3072862,Levent,Turkey,28.98018,41.00404,365
